T	1937123.000000
K	Altium Designer	Variant	-10.511213
K	Altium Designer	VariantName	-10.511213
K	Altium Designer	VariantScope	-10.511213
K	Altium Designer	Variations	-7.466691
K	Altium Designer	VaultGUID	-10.511213
K	Altium Designer	VaultHRID	-10.511213
K	Altium Designer	Version	-9.124919
K	Altium Designer	VersionControl_ProjFolderRevNumber	-10.511213
K	Altium Designer	VersionControl_RevNumber	-10.511213
K	Altium Designer	Via	-9.412601
K	Altium Designer	Video	-9.818066
K	Altium Designer	ViewConfigurations	-10.511213
K	Altium Designer	Virtual	-9.818066
K	Altium Designer	Visible	-8.719454
K	Altium Designer	Voltage	-9.412601
K	Altium Designer	W	-9.818066
K	Altium Designer	WEIGHT	-9.818066
K	Altium Designer	WIDTH	-9.818066
K	Altium Designer	WITHALLPLOTS	-7.738624
K	Altium Designer	WKRGPWUF	-10.511213
K	Altium Designer	WNNNNNNNWNNNWWWWN	-10.511213
K	Altium Designer	WORDWRAP	-10.511213
K	Altium Designer	WTBWAHIL	-10.511213
K	Altium Designer	WTYKRXPU	-10.511213
K	Altium Designer	WWWWNWWNWWWNWWWNN	-10.511213
K	Altium Designer	WWWWNWWNWWWNWWWNW	-10.511213
K	Altium Designer	WXITUWUQ	-10.511213
K	Altium Designer	WZQRCJTC	-10.511213
K	Altium Designer	Wallaby	-10.511213
K	Altium Designer	Way	-10.511213
K	Altium Designer	Width	-10.511213
K	Altium Designer	Windows	-9.818066
K	Altium Designer	WireList	-10.511213
K	Altium Designer	WireListNetlist	-10.511213
K	Altium Designer	X	-6.640012
K	Altium Designer	XCORRECT	-10.511213
K	Altium Designer	XCorrection	-6.559969
K	Altium Designer	XHJQVISW	-10.511213
K	Altium Designer	XLIGBUNT	-10.511213
K	Altium Designer	XLKPEYNS	-10.511213
K	Altium Designer	XOHAZYDX	-10.511213
K	Altium Designer	XSKIFVPJ	-10.511213
K	Altium Designer	Y	-6.682572
K	Altium Designer	YCORRECT	-10.511213
K	Altium Designer	YCorrection	-6.559969
K	Altium Designer	YJXFHWQX	-10.511213
K	Altium Designer	YNBMVHFY	-10.511213
K	Altium Designer	YOFSTNMZ	-10.511213
K	Altium Designer	ZOOMMULT	-10.511213
K	Altium Designer	ZOVXKNZF	-10.511213
K	Altium Designer	ZQFVUDKT	-10.511213
K	Altium Designer	ZQHYRWYU	-10.511213
K	Altium Designer	ZoomLevel	-10.511213
K	Altium Designer	[	-6.468162
K	Altium Designer	\	-7.143917
K	Altium Designer	]	-6.468162
K	Altium Designer	_	-4.236451
K	Altium Designer	_CACHE_LAYER	-4.169092
K	Altium Designer	_COLOR	-10.511213
K	Altium Designer	_COLORLGE	-10.511213
K	Altium Designer	_COMP	-10.511213
K	Altium Designer	_COMPONENTPLACEMENT	-6.984852
K	Altium Designer	_COPTHICK	-6.599190
K	Altium Designer	_COVERLAY_EXPANSION	-9.124919
K	Altium Designer	_DIELCONST	-8.719454
K	Altium Designer	_DIELHEIGHT	-8.719454
K	Altium Designer	_DIELMATERIAL	-8.719454
K	Altium Designer	_DIELTYPE	-8.719454
K	Altium Designer	_DISPLAYUNIT	-10.511213
K	Altium Designer	_DRAWMODE	-10.511213
K	Altium Designer	_DRAWMODELARGE	-10.511213
K	Altium Designer	_Dielectric.All	-10.511213
K	Altium Designer	_ENABLED	-10.511213
K	Altium Designer	_FLAGS	-10.511213
K	Altium Designer	_GSX	-10.511213
K	Altium Designer	_GSY	-10.511213
K	Altium Designer	_ID	-5.792714
K	Altium Designer	_ISFLEX	-10.511213
K	Altium Designer	_Internal.All	-10.511213
K	Altium Designer	_KIND	-8.431771
K	Altium Designer	_LAYERID	-5.801683
K	Altium Designer	_MASTERSTACK_ID	-10.511213
K	Altium Designer	_MASTERSTACK_ISFLEX	-10.511213
K	Altium Designer	_MASTERSTACK_NAME	-10.511213
K	Altium Designer	_MASTERSTACK_SHOWBOTTOMDIELECTRIC	-10.511213
K	Altium Designer	_MASTERSTACK_SHOWTOPDIELECTRIC	-10.511213
K	Altium Designer	_MASTERSTACK_STYLE	-10.511213
K	Altium Designer	_MECHENABLED	-7.045477
K	Altium Designer	_MRLASTWIDTH	-7.110016
K	Altium Designer	_MULT	-10.511213
K	Altium Designer	_MULTLARGE	-10.511213
K	Altium Designer	_Mechanical.All	-10.511213
K	Altium Designer	_NAME	-5.783825
K	Altium Designer	_OX	-10.511213
K	Altium Designer	_OY	-10.511213
K	Altium Designer	_OutputMedium	-10.511213
K	Altium Designer	_PRIO	-10.511213
K	Altium Designer	_PULLBACKDISTANCE	-7.738624
K	Altium Designer	_QSX	-10.511213
K	Altium Designer	_QSY	-10.511213
K	Altium Designer	_ROT	-10.511213
K	Altium Designer	_SERVICE	-10.511213
K	Altium Designer	_SHOWBOTTOMDIELECTRIC	-10.511213
K	Altium Designer	_SHOWTOPDIELECTRIC	-10.511213
K	Altium Designer	_STACK_LAYER	-6.234547
K	Altium Designer	_SUBSTACK	-8.431771
K	Altium Designer	_Standard.All	-10.511213
K	Altium Designer	_TYPE	-9.818066
K	Altium Designer	_Type	-10.511213
K	Altium Designer	_USEDBYPRIMS	-5.792714
K	Altium Designer	_VALUE	-8.431771
K	Altium Designer	`	-5.238213
K	Altium Designer	a	-9.818066
K	Altium Designer	address	-9.124919
K	Altium Designer	and	-10.511213
K	Altium Designer	as	-10.511213
K	Altium Designer	by	-9.818066
K	Altium Designer	check	-9.412601
K	Altium Designer	compliance	-9.818066
K	Altium Designer	components	-10.511213
K	Altium Designer	configuration	-9.818066
K	Altium Designer	d	-10.511213
K	Altium Designer	description	-10.511213
K	Altium Designer	documentnumber	-10.511213
K	Altium Designer	dsimple	-9.818066
K	Altium Designer	dwg/dxf	-9.124919
K	Altium Designer	eFMSDropDownList_OneHot	-10.511213
K	Altium Designer	eFMSDropDownList_OneProcess	-10.511213
K	Altium Designer	example	-10.511213
K	Altium Designer	files	-10.511213
K	Altium Designer	filetypes	-10.511213
K	Altium Designer	for	-8.565303
K	Altium Designer	formatting	-10.511213
K	Altium Designer	https	-10.511213
K	Altium Designer	is	-9.818066
K	Altium Designer	key	-10.511213
K	Altium Designer	layer	-9.818066
K	Altium Designer	made	-10.511213
K	Altium Designer	max	-9.412601
K	Altium Designer	meant	-10.511213
K	Altium Designer	mil	-4.495056
K	Altium Designer	mm	-8.719454
K	Altium Designer	new	-10.511213
K	Altium Designer	newAltmLogo.bmp	-9.818066
K	Altium Designer	of	-8.901775
K	Altium Designer	on	-10.511213
K	Altium Designer	organization	-10.511213
K	Altium Designer	pick	-10.511213
K	Altium Designer	place	-10.511213
K	Altium Designer	project	-10.511213
K	Altium Designer	released	-9.818066
K	Altium Designer	representative	-10.511213
K	Altium Designer	revision	-10.511213
K	Altium Designer	s	-10.511213
K	Altium Designer	sample	-10.511213
K	Altium Designer	serve	-10.511213
K	Altium Designer	sheetnumber	-10.511213
K	Altium Designer	sheettotal	-10.511213
K	Altium Designer	stack	-9.818066
K	Altium Designer	states	-9.818066
K	Altium Designer	storage	-10.511213
K	Altium Designer	the	-9.818066
K	Altium Designer	title	-10.511213
K	Altium Designer	to	-10.511213
K	Altium Designer	use	-10.511213
K	Altium Designer	view	-10.511213
K	Altium Designer	{	-5.086263
K	Altium Designer	|	-1.889119
K	Altium Designer	||	-9.818066
K	Altium Designer	}	-5.086263
K	Altium Designer	~	-7.803163
K	Altium Designer	�	-7.515481
K	Altium Designer	¦	-7.515481
K	AngelScript	!	-4.997212
K	AngelScript	#include	-7.482119
K	AngelScript	&	-5.402677
K	AngelScript	&&	-6.095825
K	AngelScript	'	-7.482119
K	AngelScript	(	-2.173851
K	AngelScript	)	-2.173851
K	AngelScript	*	-6.383507
K	AngelScript	+	-4.263243
K	AngelScript	,	-3.456767
K	AngelScript	-	-5.872681
K	AngelScript	.Attackers	-7.482119
K	AngelScript	.GetDebugName	-7.482119
K	AngelScript	.GetInteger	-6.788972
K	AngelScript	.GetPhysicsBody	-7.482119
K	AngelScript	.GetScriptBehavior	-7.482119
K	AngelScript	.SendToAll	-6.383507
K	AngelScript	.Units.FetchAll	-7.482119
K	AngelScript	.local	-7.482119
K	AngelScript	.peer	-6.095825
K	AngelScript	.team	-7.482119
K	AngelScript	/	-7.482119
K	AngelScript	//TODO	-7.482119
K	AngelScript	:	-3.511827
K	AngelScript	;	-2.388369
K	AngelScript	<	-5.179534
K	AngelScript	<<	-6.788972
K	AngelScript	<PayloadBehavior>	-7.482119
K	AngelScript	<PayloadPlayerRecord>	-6.383507
K	AngelScript	<PlayerHealgun>	-7.482119
K	AngelScript	<SValue@>	-7.482119
K	AngelScript	<WorldScript::PayloadBeginTrigger@>	-7.482119
K	AngelScript	<WorldScript::PayloadNode>	-6.095825
K	AngelScript	<WorldScript::PayloadTeamForcefield@>	-7.482119
K	AngelScript	<name>	-7.482119
K	AngelScript	=	-2.938824
K	AngelScript	>	-5.084224
K	AngelScript	@	-7.482119
K	AngelScript	@AddBotCallback	-7.482119
K	AngelScript	@CConCommand	-7.482119
K	AngelScript	@CreateDumbBot	-7.482119
K	AngelScript	@DumbBot	-7.482119
K	AngelScript	@distNode	-7.482119
K	AngelScript	@joinScore	-6.788972
K	AngelScript	@m_pAddBot	-7.482119
K	AngelScript	@m_payload	-7.482119
K	AngelScript	@m_payload.m_targetNode	-7.482119
K	AngelScript	@m_payloadHUD	-7.482119
K	AngelScript	@m_switchClass	-7.482119
K	AngelScript	@m_switchTeam	-7.482119
K	AngelScript	@m_switchedSidesData	-7.482119
K	AngelScript	@node.m_nextNode	-7.482119
K	AngelScript	@node.m_prevNode	-7.482119
K	AngelScript	@prevNode	-7.482119
K	AngelScript	AddBotCallback	-7.482119
K	AngelScript	BaseBot	-6.788972
K	AngelScript	BaseBot@	-6.788972
K	AngelScript	BotManager	-5.690359
K	AngelScript	CBasePlayer@	-6.788972
K	AngelScript	CCommand@	-7.482119
K	AngelScript	CConCommand@	-7.482119
K	AngelScript	CanSwitchTeams	-7.482119
K	AngelScript	ChangeLevel	-7.482119
K	AngelScript	CheckTimeReached	-6.788972
K	AngelScript	CreateDumbBot	-7.482119
K	AngelScript	CreatePlayerRecord	-7.482119
K	AngelScript	CurrPlaytimeLevel	-6.788972
K	AngelScript	DEAD_RESPAWNABLE	-7.482119
K	AngelScript	DisplayPlayerName	-6.788972
K	AngelScript	DumbBot	-6.788972
K	AngelScript	Editable	-5.402677
K	AngelScript	EndMatch	-7.482119
K	AngelScript	FindTeamScore	-7.482119
K	AngelScript	FirstNode	-7.482119
K	AngelScript	FirstNode.FetchFirst	-7.482119
K	AngelScript	GameInput	-7.482119
K	AngelScript	GameMode	-7.482119
K	AngelScript	GetCurrentLevelFilename	-7.482119
K	AngelScript	GetLocalPlayer	-7.482119
K	AngelScript	GetParamArray	-7.482119
K	AngelScript	GetPlayerClassCount	-7.482119
K	AngelScript	GetPlayersInTeam	-6.788972
K	AngelScript	GetWorldScript	-7.482119
K	AngelScript	GoNextMap	-6.788972
K	AngelScript	HashString	-7.482119
K	AngelScript	IN_ATTACK	-6.095825
K	AngelScript	IsServer	-6.383507
K	AngelScript	KeyValueBuffer@	-7.482119
K	AngelScript	Math.RandomLong	-6.095825
K	AngelScript	MenuInput	-7.482119
K	AngelScript	Message	-6.383507
K	AngelScript	NameForTeam	-7.482119
K	AngelScript	Network	-5.690359
K	AngelScript	Payload	-6.788972
K	AngelScript	PayloadBehavior@	-7.482119
K	AngelScript	PayloadClassSwitchWindow	-7.482119
K	AngelScript	PayloadClassSwitchWindow@	-7.482119
K	AngelScript	PayloadHUD	-7.482119
K	AngelScript	PayloadHUD@	-7.482119
K	AngelScript	PayloadHeal	-7.482119
K	AngelScript	PayloadNode@	-7.482119
K	AngelScript	PayloadPlayerRecord	-7.482119
K	AngelScript	PayloadPlayerRecord@	-7.482119
K	AngelScript	PayloadTeamSwitchWindow	-7.482119
K	AngelScript	PayloadUnit	-7.482119
K	AngelScript	PayloadUnit.FetchFirst	-7.482119
K	AngelScript	PhysicsBody@	-7.482119
K	AngelScript	Player.edict	-7.482119
K	AngelScript	Player.pev.button	-6.095825
K	AngelScript	Player.pev.deadflag	-7.482119
K	AngelScript	Player@	-7.482119
K	AngelScript	PlayerClass	-7.482119
K	AngelScript	PlayerClassesUpdated	-7.482119
K	AngelScript	PlayerHealgun@	-7.482119
K	AngelScript	PlayerHusk@	-7.482119
K	AngelScript	PlayerRecord@	-6.383507
K	AngelScript	PluginInit	-7.482119
K	AngelScript	PrepareTime	-6.788972
K	AngelScript	PrintError	-6.095825
K	AngelScript	RenderFrame	-6.788972
K	AngelScript	RenderWidgets	-6.788972
K	AngelScript	SValue@	-7.482119
K	AngelScript	SValueBuilder	-7.482119
K	AngelScript	Save	-6.788972
K	AngelScript	Scene@	-7.482119
K	AngelScript	SetWinner	-6.788972
K	AngelScript	ShouldDisplayCursor	-6.788972
K	AngelScript	ShouldFreezeControls	-6.788972
K	AngelScript	SpawnPlayer	-6.383507
K	AngelScript	SpawnPlayers	-6.788972
K	AngelScript	SpriteBatch	-6.383507
K	AngelScript	Start	-6.788972
K	AngelScript	StartMode	-7.482119
K	AngelScript	TeamVersusGameMode	-4.997212
K	AngelScript	TeamVersusScore@	-6.788972
K	AngelScript	Think	-6.788972
K	AngelScript	This	-7.482119
K	AngelScript	TimeAddCheckpoint	-7.482119
K	AngelScript	TimeLimit	-6.788972
K	AngelScript	TimeOvertime	-6.788972
K	AngelScript	TimePayloadHeal	-7.482119
K	AngelScript	TimeReached	-6.383507
K	AngelScript	UnitFeed	-6.788972
K	AngelScript	UnitPtr	-6.383507
K	AngelScript	UpdateFrame	-6.788972
K	AngelScript	WorldScript	-6.788972
K	AngelScript	WorldScript@	-7.482119
K	AngelScript	[	-4.080922
K	AngelScript	]	-4.080922
K	AngelScript	args	-6.383507
K	AngelScript	args.ArgC	-7.482119
K	AngelScript	array	-6.383507
K	AngelScript	at_console	-6.383507
K	AngelScript	attackers	-6.383507
K	AngelScript	auto	-5.872681
K	AngelScript	body	-6.788972
K	AngelScript	body.SetActive	-7.482119
K	AngelScript	bool	-5.690359
K	AngelScript	break	-6.788972
K	AngelScript	builder	-6.788972
K	AngelScript	builder.PopArray	-7.482119
K	AngelScript	builder.PushArray	-7.482119
K	AngelScript	builder.PushInteger	-6.788972
K	AngelScript	cast	-5.284894
K	AngelScript	class	-6.788972
K	AngelScript	const	-7.482119
K	AngelScript	continue	-6.095825
K	AngelScript	currDistance	-6.383507
K	AngelScript	default	-5.690359
K	AngelScript	dist	-6.788972
K	AngelScript	distNode	-6.788972
K	AngelScript	distNode.Position	-7.482119
K	AngelScript	distNode.m_locationFactor	-6.788972
K	AngelScript	distNode.m_nextNode	-7.482119
K	AngelScript	distNode.m_prevNode	-7.482119
K	AngelScript	distNode.m_prevNode.Position	-7.482119
K	AngelScript	doesn	-7.482119
K	AngelScript	dt	-6.383507
K	AngelScript	else	-5.179534
K	AngelScript	false	-6.788972
K	AngelScript	final	-7.482119
K	AngelScript	float	-6.383507
K	AngelScript	for	-5.402677
K	AngelScript	g_BotManager	-7.482119
K	AngelScript	g_BotManager.CreateBot	-7.482119
K	AngelScript	g_BotManager.PluginInit	-7.482119
K	AngelScript	g_EngineFuncs.GetInfoKeyBuffer	-7.482119
K	AngelScript	g_Game.AlertMessage	-6.383507
K	AngelScript	g_payloadBeginTriggers	-6.788972
K	AngelScript	g_payloadBeginTriggers.length	-7.482119
K	AngelScript	g_players	-5.690359
K	AngelScript	g_players.length	-6.788972
K	AngelScript	g_scene	-7.482119
K	AngelScript	g_teamForceFields	-6.383507
K	AngelScript	g_teamForceFields.length	-7.482119
K	AngelScript	gameInput	-6.788972
K	AngelScript	hasCollision	-6.788972
K	AngelScript	healgun	-6.788972
K	AngelScript	healgun.RenderMarkers	-7.482119
K	AngelScript	i	-4.304065
K	AngelScript	idt	-5.179534
K	AngelScript	if	-3.818557
K	AngelScript	index	-6.383507
K	AngelScript	int	-4.437596
K	AngelScript	is	-4.709530
K	AngelScript	j	-5.179534
K	AngelScript	joinScore	-6.788972
K	AngelScript	joinScore.m_team	-7.482119
K	AngelScript	k	-5.872681
K	AngelScript	localAttackers	-6.788972
K	AngelScript	m_ended	-7.482119
K	AngelScript	m_guiBuilder	-6.383507
K	AngelScript	m_pAddBot	-7.482119
K	AngelScript	m_payload	-6.788972
K	AngelScript	m_payload.AttackersInside	-7.482119
K	AngelScript	m_payloadHUD	-7.482119
K	AngelScript	m_payloadHUD.AddCheckpoints	-7.482119
K	AngelScript	m_payloadHUD.DisplayPlayerName	-7.482119
K	AngelScript	m_payloadHUD.Draw	-7.482119
K	AngelScript	m_payloadHUD.Update	-7.482119
K	AngelScript	m_payloadHUD.Winner	-7.482119
K	AngelScript	m_switchClass	-7.482119
K	AngelScript	m_switchClass.Draw	-7.482119
K	AngelScript	m_switchClass.PlayerClassesUpdated	-7.482119
K	AngelScript	m_switchClass.m_visible	-6.788972
K	AngelScript	m_switchedSidesData	-5.690359
K	AngelScript	m_switchedSidesData.length	-7.482119
K	AngelScript	m_teamScores	-6.383507
K	AngelScript	m_tmInOvertime	-6.788972
K	AngelScript	m_tmLimit	-7.482119
K	AngelScript	m_tmLimitCustom	-6.383507
K	AngelScript	m_tmOvertime	-5.690359
K	AngelScript	m_tmRespawnCountdown	-7.482119
K	AngelScript	m_tmStarted	-5.536209
K	AngelScript	m_tmStarting	-5.690359
K	AngelScript	m_vecVelocity	-7.482119
K	AngelScript	menuInput	-6.788972
K	AngelScript	ms	-6.095825
K	AngelScript	node	-5.690359
K	AngelScript	node.NextNode.FetchFirst	-7.482119
K	AngelScript	node.Position	-7.482119
K	AngelScript	null	-4.774069
K	AngelScript	override	-4.843062
K	AngelScript	pBot	-6.788972
K	AngelScript	pInfoBuffer	-7.482119
K	AngelScript	pInfoBuffer.SetValue	-6.788972
K	AngelScript	pPlayer	-6.095825
K	AngelScript	peer	-6.095825
K	AngelScript	player	-6.095825
K	AngelScript	player.m_currWeapon	-7.482119
K	AngelScript	playerClass	-6.788972
K	AngelScript	plr	-6.383507
K	AngelScript	pos	-5.872681
K	AngelScript	prevNode	-6.383507
K	AngelScript	prevNode.Position	-7.482119
K	AngelScript	print	-6.788972
K	AngelScript	record	-5.872681
K	AngelScript	record.HandlePlayerClass	-7.482119
K	AngelScript	record.playerClass	-7.482119
K	AngelScript	ret	-6.383507
K	AngelScript	return	-4.774069
K	AngelScript	sMode	-6.788972
K	AngelScript	save	-6.095825
K	AngelScript	sb	-5.179534
K	AngelScript	scene	-6.788972
K	AngelScript	string	-7.482119
K	AngelScript	super	-6.788972
K	AngelScript	t	-7.482119
K	AngelScript	team	-5.536209
K	AngelScript	team.m_players	-6.788972
K	AngelScript	team.m_players.length	-7.482119
K	AngelScript	tmNow	-6.095825
K	AngelScript	totalDistance	-6.383507
K	AngelScript	uiIndex	-6.095825
K	AngelScript	uint	-4.774069
K	AngelScript	unitFirstNode	-6.788972
K	AngelScript	unitFirstNode.GetScriptBehavior	-6.788972
K	AngelScript	unitFirstNode.IsValid	-7.482119
K	AngelScript	unitId	-6.788972
K	AngelScript	unitNode	-6.788972
K	AngelScript	unitNode.GetScriptBehavior	-6.788972
K	AngelScript	unitNode.IsValid	-7.482119
K	AngelScript	units	-6.383507
K	AngelScript	units.length	-7.482119
K	AngelScript	vec	-6.095825
K	AngelScript	void	-4.709530
K	AngelScript	well	-7.482119
K	AngelScript	while	-6.788972
K	AngelScript	work	-7.482119
K	AngelScript	ws	-7.482119
K	AngelScript	ws.Execute	-7.482119
K	AngelScript	{	-3.404581
K	AngelScript	|	-6.788972
K	AngelScript	||	-6.788972
K	AngelScript	}	-3.421676
K	AngelScript	~	-6.788972
K	Ant Build System	/	-2.161022
K	Ant Build System	</project>	-6.073045
K	Ant Build System	</target>	-6.073045
K	Ant Build System	<?xml>	-6.073045
K	Ant Build System	<basename>	-6.073045
K	Ant Build System	<dirname>	-6.073045
K	Ant Build System	<echoproperties/>	-6.073045
K	Ant Build System	<import>	-3.300456
K	Ant Build System	<project>	-6.073045
K	Ant Build System	<property>	-3.239831
K	Ant Build System	<target>	-3.364994
K	Ant Build System	<tstamp>	-6.073045
K	Ant Build System	=	-1.529750
K	Ant Build System	>	-2.102753
K	Ant Build System	?	-6.073045
K	Ant Build System	Build	-6.073045
K	Ant Build System	Production	-6.073045
K	Ant Build System	build	-6.073045
K	Ant Build System	cdn	-5.379897
K	Ant Build System	conditions	-6.073045
K	Ant Build System	copy	-6.073045
K	Ant Build System	css	-4.974432
K	Ant Build System	cssembed	-6.073045
K	Ant Build System	define	-4.974432
K	Ant Build System	depends	-3.364994
K	Ant Build System	depends=	-3.364994
K	Ant Build System	description	-3.993603
K	Ant Build System	description=	-3.993603
K	Ant Build System	devlive	-6.073045
K	Ant Build System	encoding	-6.073045
K	Ant Build System	encoding=	-6.073045
K	Ant Build System	file	-3.128606
K	Ant Build System	file=	-5.379897
K	Ant Build System	finalize	-5.379897
K	Ant Build System	fonts	-6.073045
K	Ant Build System	img	-6.073045
K	Ant Build System	inline	-6.073045
K	Ant Build System	js	-4.686750
K	Ant Build System	jsclasspath	-6.073045
K	Ant Build System	location	-3.300456
K	Ant Build System	location=	-3.300456
K	Ant Build System	name	-2.607309
K	Ant Build System	name=	-6.073045
K	Ant Build System	property	-5.379897
K	Ant Build System	rename	-4.974432
K	Ant Build System	setup	-3.993603
K	Ant Build System	swf	-6.073045
K	Ant Build System	tools	-6.073045
K	Ant Build System	version	-6.073045
K	Ant Build System	work	-6.073045
K	Ant Build System	yui	-4.974432
K	Ant Build System	yuicompressor	-6.073045
K	ApacheConf	#####################	-6.643790
K	ApacheConf	######################	-6.643790
K	ApacheConf	#AddEncoding	-6.643790
K	ApacheConf	#AddHandler	-6.643790
K	ApacheConf	#AddOutputFilter	-6.643790
K	ApacheConf	#Block	-6.643790
K	ApacheConf	#EnableSendfile	-5.950643
K	ApacheConf	#ErrorDocument	-5.257495
K	ApacheConf	#Include	-3.810576
K	ApacheConf	#MaxRanges	-6.643790
K	ApacheConf	$	-6.643790
K	ApacheConf	%	-2.618438
K	ApacheConf	(	-4.078840
K	ApacheConf	)	-4.004732
K	ApacheConf	*	-6.643790
K	ApacheConf	,	-3.871201
K	ApacheConf	-	-3.178054
K	ApacheConf	.	-4.341205
K	ApacheConf	.*	-5.950643
K	ApacheConf	./	-6.643790
K	ApacheConf	.gz	-5.950643
K	ApacheConf	.shtml	-6.643790
K	ApacheConf	.tgz	-5.950643
K	ApacheConf	/	-5.545177
K	ApacheConf	//www.example.com/subscription_info.html	-6.643790
K	ApacheConf	/etc/apache	-4.245894
K	ApacheConf	/extra/httpd	-3.552747
K	ApacheConf	/missing.html	-6.643790
K	ApacheConf	/other/*.conf	-6.643790
K	ApacheConf	/private/etc/apache	-4.158883
K	ApacheConf	:	-5.545177
K	ApacheConf	;	-5.950643
K	ApacheConf	<	-6.643790
K	ApacheConf	</Directory>	-4.697880
K	ApacheConf	</DirectoryMatch>	-6.643790
K	ApacheConf	</Files>	-6.643790
K	ApacheConf	</FilesMatch>	-5.950643
K	ApacheConf	</IfModule>	-3.810576
K	ApacheConf	</VirtualHost>	-6.643790
K	ApacheConf	<Directory>	-4.446565
K	ApacheConf	<DirectoryMatch>	-6.643790
K	ApacheConf	<Files>	-6.643790
K	ApacheConf	<FilesMatch>	-5.950643
K	ApacheConf	<IfModule>	-3.810576
K	ApacheConf	<VirtualHost>	-3.810576
K	ApacheConf	<|>	-4.852030
K	ApacheConf	>	-4.245894
K	ApacheConf	A	-4.852030
K	ApacheConf	AddType	-6.643790
K	ApacheConf	Agent	-5.950643
K	ApacheConf	All	-6.643790
K	ApacheConf	Allow	-5.950643
K	ApacheConf	AllowOverride	-5.950643
K	ApacheConf	C	-5.034352
K	ApacheConf	D	-4.852030
K	ApacheConf	DELETE	-6.643790
K	ApacheConf	DirectoryIndex	-6.643790
K	ApacheConf	DocumentRoot	-6.643790
K	ApacheConf	E	-5.034352
K	ApacheConf	F	-6.643790
K	ApacheConf	FollowSymLinks	-6.643790
K	ApacheConf	HEAD	-6.643790
K	ApacheConf	HOSTNAME	-6.643790
K	ApacheConf	HTTP_COOKIE	-6.643790
K	ApacheConf	HTTP_REFERER	-6.643790
K	ApacheConf	HTTP_USER_AGENT	-5.034352
K	ApacheConf	HTTrack	-6.643790
K	ApacheConf	INCLUDES	-6.643790
K	ApacheConf	Include	-4.852030
K	ApacheConf	Indexes	-6.643790
K	ApacheConf	LogFormat	-5.257495
K	ApacheConf	MultiViews	-6.643790
K	ApacheConf	NC	-4.078840
K	ApacheConf	None	-5.950643
K	ApacheConf	OR	-4.004732
K	ApacheConf	Off	-6.643790
K	ApacheConf	Options	-5.950643
K	ApacheConf	Order	-5.950643
K	ApacheConf	PORT	-6.643790
K	ApacheConf	QUERY_STRING	-5.034352
K	ApacheConf	REQUEST_METHOD	-6.643790
K	ApacheConf	REQUEST_URI	-6.643790
K	ApacheConf	Referer	-5.950643
K	ApacheConf	RewriteCond	-3.935740
K	ApacheConf	RewriteRule	-6.643790
K	ApacheConf	SSLRandomSeed	-5.257495
K	ApacheConf	ServerAdmin	-6.643790
K	ApacheConf	ServerName	-6.643790
K	ApacheConf	ServerSignature	-6.643790
K	ApacheConf	THE_REQUEST	-6.643790
K	ApacheConf	TRACE	-6.643790
K	ApacheConf	TRACK	-6.643790
K	ApacheConf	TraceEnable	-6.643790
K	ApacheConf	User	-5.950643
K	ApacheConf	[	-3.810576
K	ApacheConf	\	-3.311585
K	ApacheConf	]	-3.810576
K	ApacheConf	^	-5.257495
K	ApacheConf	a	-6.643790
K	ApacheConf	alias_module	-5.950643
K	ApacheConf	all	-5.950643
K	ApacheConf	allow	-5.950643
K	ApacheConf	application/x	-6.643790
K	ApacheConf	archiver	-6.643790
K	ApacheConf	autoindex.conf	-5.950643
K	ApacheConf	benchmark	-6.643790
K	ApacheConf	builtin	-5.257495
K	ApacheConf	cast	-6.643790
K	ApacheConf	cgid_module	-6.643790
K	ApacheConf	clshttp	-6.643790
K	ApacheConf	combinedio	-5.950643
K	ApacheConf	common	-5.950643
K	ApacheConf	connect	-5.950643
K	ApacheConf	curl	-5.950643
K	ApacheConf	dav.conf	-5.950643
K	ApacheConf	declare	-6.643790
K	ApacheConf	default.conf	-5.950643
K	ApacheConf	deny	-5.950643
K	ApacheConf	drop	-6.643790
K	ApacheConf	email	-6.643790
K	ApacheConf	errordoc.conf	-5.950643
K	ApacheConf	extract	-6.643790
K	ApacheConf	from	-5.950643
K	ApacheConf	grab	-6.643790
K	ApacheConf	gzip	-5.950643
K	ApacheConf	harvest	-6.643790
K	ApacheConf	http	-6.643790
K	ApacheConf	i	-5.257495
K	ApacheConf	index.php	-5.950643
K	ApacheConf	info.conf	-5.950643
K	ApacheConf	injects	-6.643790
K	ApacheConf	insert	-6.643790
K	ApacheConf	java	-6.643790
K	ApacheConf	languages.conf	-5.950643
K	ApacheConf	libwww	-6.643790
K	ApacheConf	loader	-6.643790
K	ApacheConf	localhost	-6.643790
K	ApacheConf	log_config_module	-5.950643
K	ApacheConf	logio_module	-5.950643
K	ApacheConf	loopback	-6.643790
K	ApacheConf	manual.conf	-5.950643
K	ApacheConf	map	-6.643790
K	ApacheConf	md	-6.643790
K	ApacheConf	mime_module	-6.643790
K	ApacheConf	miner	-6.643790
K	ApacheConf	mpm.conf	-5.950643
K	ApacheConf	multilang	-5.950643
K	ApacheConf	mySQL	-6.643790
K	ApacheConf	n	-6.643790
K	ApacheConf	nikto	-6.643790
K	ApacheConf	off	-5.545177
K	ApacheConf	patrick@heysparkbox.com	-6.643790
K	ApacheConf	perl	-6.643790
K	ApacheConf	python	-6.643790
K	ApacheConf	r	-5.034352
K	ApacheConf	scan	-6.643790
